r1	r2	sample	BC
CLL_05-599_S269_L007_R1_001.fastq.gz	CLL_05-599_S269_L007_R2_001.fastq.gz	CLL_05-599_S269_L007	IWZKJLGK
CLL_05-599_S26_L006_R1_001.fastq.gz	CLL_05-599_S26_L006_R2_001.fastq.gz	CLL_05-599_S26_L006	TUETGEDM
CLL_05-599_S271_L001_R1_001.fastq.gz	CLL_05-599_S271_L001_R2_001.fastq.gz	CLL_05-599_S271_L001	DMZTASEE
CLL_05-599_S272_L001_R1_001.fastq.gz	CLL_05-599_S272_L001_R2_001.fastq.gz	CLL_05-599_S272_L001	VHHPLSYB
CLL_05-599_S272_L007_R1_001.fastq.gz	CLL_05-599_S272_L007_R2_001.fastq.gz	CLL_05-599_S272_L007	VLLOGRQP
CLL_05-599_S273_L006_R1_001.fastq.gz	CLL_05-599_S273_L006_R2_001.fastq.gz	CLL_05-599_S273_L006	WRFMKXUD
CLL_05-599_S274_L007_R1_001.fastq.gz	CLL_05-599_S274_L007_R2_001.fastq.gz	CLL_05-599_S274_L007	XCXMRCUS
CLL_05-599_S275_L006_R1_001.fastq.gz	CLL_05-599_S275_L006_R2_001.fastq.gz	CLL_05-599_S275_L006	MJBTPHCW
CLL_05-599_S276_L006_R1_001.fastq.gz	CLL_05-599_S276_L006_R2_001.fastq.gz	CLL_05-599_S276_L006	XVJYLUCK
CLL_05-599_S277_L006_R1_001.fastq.gz	CLL_05-599_S277_L006_R2_001.fastq.gz	CLL_05-599_S277_L006	HAUTONXW
CLL_05-599_S279_L001_R1_001.fastq.gz	CLL_05-599_S279_L001_R2_001.fastq.gz	CLL_05-599_S279_L001	TSIPGPLG
CLL_05-599_S279_L006_R1_001.fastq.gz	CLL_05-599_S279_L006_R2_001.fastq.gz	CLL_05-599_S279_L006	STDXKMKX
CLL_05-599_S280_L001_R1_001.fastq.gz	CLL_05-599_S280_L001_R2_001.fastq.gz	CLL_05-599_S280_L001	XWNSPBPX
CLL_05-599_S280_L007_R1_001.fastq.gz	CLL_05-599_S280_L007_R2_001.fastq.gz	CLL_05-599_S280_L007	LHEMAFZR
CLL_05-599_S281_L006_R1_001.fastq.gz	CLL_05-599_S281_L006_R2_001.fastq.gz	CLL_05-599_S281_L006	KJWZIDLQ
CLL_05-599_S282_L006_R1_001.fastq.gz	CLL_05-599_S282_L006_R2_001.fastq.gz	CLL_05-599_S282_L006	CIIIHSLS
CLL_05-599_S286_L006_R1_001.fastq.gz	CLL_05-599_S286_L006_R2_001.fastq.gz	CLL_05-599_S286_L006	QYAEHNYW
CLL_05-599_S287_L007_R1_001.fastq.gz	CLL_05-599_S287_L007_R2_001.fastq.gz	CLL_05-599_S287_L007	WSGCWYCH
CLL_05-599_S288_L001_R1_001.fastq.gz	CLL_05-599_S288_L001_R2_001.fastq.gz	CLL_05-599_S288_L001	JKOKAXXH
CLL_05-599_S288_L006_R1_001.fastq.gz	CLL_05-599_S288_L006_R2_001.fastq.gz	CLL_05-599_S288_L006	OYNZJYSR
CLL_05-599_S288_L007_R1_001.fastq.gz	CLL_05-599_S288_L007_R2_001.fastq.gz	CLL_05-599_S288_L007	DBAVJHIW
CLL_05-599_S289_L007_R1_001.fastq.gz	CLL_05-599_S289_L007_R2_001.fastq.gz	CLL_05-599_S289_L007	JBVGHLJL
CLL_05-599_S290_L006_R1_001.fastq.gz	CLL_05-599_S290_L006_R2_001.fastq.gz	CLL_05-599_S290_L006	DJWQVFZW
CLL_05-599_S291_L007_R1_001.fastq.gz	CLL_05-599_S291_L007_R2_001.fastq.gz	CLL_05-599_S291_L007	SOCOCZXE
CLL_05-599_S294_L001_R1_001.fastq.gz	CLL_05-599_S294_L001_R2_001.fastq.gz	CLL_05-599_S294_L001	GBPFLOHM
CLL_05-599_S295_L007_R1_001.fastq.gz	CLL_05-599_S295_L007_R2_001.fastq.gz	CLL_05-599_S295_L007	SGJYYVUA
CLL_05-599_S296_L006_R1_001.fastq.gz	CLL_05-599_S296_L006_R2_001.fastq.gz	CLL_05-599_S296_L006	WACPKKNE
CLL_05-599_S296_L007_R1_001.fastq.gz	CLL_05-599_S296_L007_R2_001.fastq.gz	CLL_05-599_S296_L007	NQVNXVYK
CLL_05-599_S298_L001_R1_001.fastq.gz	CLL_05-599_S298_L001_R2_001.fastq.gz	CLL_05-599_S298_L001	WNCKEYDU
CLL_05-599_S29_L001_R1_001.fastq.gz	CLL_05-599_S29_L001_R2_001.fastq.gz	CLL_05-599_S29_L001	BMCISGDB
CLL_05-599_S300_L001_R1_001.fastq.gz	CLL_05-599_S300_L001_R2_001.fastq.gz	CLL_05-599_S300_L001	CLYLSYFY
CLL_05-599_S301_L006_R1_001.fastq.gz	CLL_05-599_S301_L006_R2_001.fastq.gz	CLL_05-599_S301_L006	AXSLMTPE
CLL_05-599_S302_L007_R1_001.fastq.gz	CLL_05-599_S302_L007_R2_001.fastq.gz	CLL_05-599_S302_L007	LFFANKYZ
CLL_05-599_S303_L001_R1_001.fastq.gz	CLL_05-599_S303_L001_R2_001.fastq.gz	CLL_05-599_S303_L001	EDXSKJTT
CLL_05-599_S304_L006_R1_001.fastq.gz	CLL_05-599_S304_L006_R2_001.fastq.gz	CLL_05-599_S304_L006	IWOIZELW
CLL_05-599_S305_L006_R1_001.fastq.gz	CLL_05-599_S305_L006_R2_001.fastq.gz	CLL_05-599_S305_L006	CYNVLZJD
CLL_05-599_S30_L001_R1_001.fastq.gz	CLL_05-599_S30_L001_R2_001.fastq.gz	CLL_05-599_S30_L001	CWIOOLED
CLL_05-599_S30_L006_R1_001.fastq.gz	CLL_05-599_S30_L006_R2_001.fastq.gz	CLL_05-599_S30_L006	VSMBPFVB
CLL_05-599_S30_L007_R1_001.fastq.gz	CLL_05-599_S30_L007_R2_001.fastq.gz	CLL_05-599_S30_L007	MJRRJKPX
CLL_05-599_S311_L001_R1_001.fastq.gz	CLL_05-599_S311_L001_R2_001.fastq.gz	CLL_05-599_S311_L001	VSYKGORE
CLL_05-599_S313_L001_R1_001.fastq.gz	CLL_05-599_S313_L001_R2_001.fastq.gz	CLL_05-599_S313_L001	ZSARTKCE
CLL_05-599_S314_L007_R1_001.fastq.gz	CLL_05-599_S314_L007_R2_001.fastq.gz	CLL_05-599_S314_L007	XUOEOLJH
CLL_05-599_S317_L006_R1_001.fastq.gz	CLL_05-599_S317_L006_R2_001.fastq.gz	CLL_05-599_S317_L006	ADDGGZUC
CLL_05-599_S317_L007_R1_001.fastq.gz	CLL_05-599_S317_L007_R2_001.fastq.gz	CLL_05-599_S317_L007	TIPOOTFC
CLL_05-599_S318_L006_R1_001.fastq.gz	CLL_05-599_S318_L006_R2_001.fastq.gz	CLL_05-599_S318_L006	VUYHCKQO
CLL_05-599_S31_L001_R1_001.fastq.gz	CLL_05-599_S31_L001_R2_001.fastq.gz	CLL_05-599_S31_L001	JSPWVSWN
CLL_05-599_S321_L006_R1_001.fastq.gz	CLL_05-599_S321_L006_R2_001.fastq.gz	CLL_05-599_S321_L006	BUSUNUIY
CLL_05-599_S324_L001_R1_001.fastq.gz	CLL_05-599_S324_L001_R2_001.fastq.gz	CLL_05-599_S324_L001	HEREOSVX
CLL_05-599_S325_L006_R1_001.fastq.gz	CLL_05-599_S325_L006_R2_001.fastq.gz	CLL_05-599_S325_L006	GHYQWGVD
CLL_05-599_S325_L007_R1_001.fastq.gz	CLL_05-599_S325_L007_R2_001.fastq.gz	CLL_05-599_S325_L007	OUJNSFXB
