library_id,plate
AG0690,P2471
AG0691,P2471
AG0692,P2471
AG0693,P2471
AG0694,P2471
AG0695,P2471
AG0696,P2471
AG0697,P2471
AG0698,P2471
AG0699,P2471
AG0700,P2471
AG0701,P2471
AG0702,P2471
AG0703,P2471
AG0704,P2471
AG0705,P2471
AG0706,P2471
AG0707,P2471
AG0708,P2471
AG0709,P2471
AG0710,P2471
AG0711,P2471
AG0712,P2471
AG0713,P2471
AG0714,P2471
AG0715,P2471
AG0716,P2471
AG0717,P2471
AG0718,P2471
AG0719,P2471
AG0720,P2471
AG0721,P2471
AG0722,P2471
AG0723,P2471
AG0724,P2471
AG0725,P2471
AG0726,P2471
AG0727,P2471
AG0728,P2471
AG0729,P2471
AG0730,P2471
AG0731,P2471
AG0732,P2471
AG0733,P2471
AG0734,P2471
AG0735,P2471
AG0736,P2471
AG0737,P2471
AG0738,P2471
AG0739,P2471
AG0740,P2471
AG0741,P2471
AG0742,P2471
AG0743,P2471
AG0744,P2471
AG0745,P2471
AG0746,P2471
AG0747,P2471
AG0748,P2471
AG0749,P2471
AG0750,P2471
AG0751,P2471
AG0752,P2471
AG0753,P2471
AG0754,P2471
AG0755,P2471
AG0756,P2471
AG0757,P2471
AG0758,P2471
AG0759,P2471
AG0760,P2471
AG0761,P2471
AG0762,P2470
AG0763,P2470
AG0764,P2470
AG0765,P2470
AG0766,P2470
AG0767,P2470
AG0768,P2470
AG0769,P2470
AG0770,P2470
AG0771,P2470
AG0772,P2470
AG0773,P2470
AG0774,P2470
AG0775,P2470
AG0776,P2470
AG0777,P2470
AG0778,P2470
AG0779,P2470
AG0780,P2470
AG0781,P2470
AG0782,P2470
AG0783,P2470
AG0784,P2470
AG0785,P2470
AG0786,P2470
AG0787,P2470
AG0788,P2470
AG0789,P2470
AG0790,P2470
AG0791,P2470
AG0792,P2470
AG0793,P2470
AG0794,P2470
AG0795,P2470
AG0796,P2470
AG0797,P2470
AG0798,P2470
AG0799,P2470
AG0800,P2470
AG0801,P2470
AG0802,P2470
AG0803,P2470
AG0804,P2470
AG0805,P2470
AG0806,P2470
AG0807,P2470
AG0808,P2470
AG0809,P2470
AG0810,P2470
AG0811,P2470
AG0812,P2470
AG0813,P2470
AG0814,P2470
AG0815,P2470
AG0816,P2470
AG0817,P2470
AG0818,P2470
AG0819,P2470
AG0820,P2470
AG0821,P2470
AG0822,P2470
AG0823,P2470
AG0824,P2470
AG0825,P2470
AG0826,P2470
AG0827,P2470
AG0828,P2470
AG0829,P2470
AG0830,P2470
AG0831,P2470
AG0832,P2470
AG0833,P2470
AG0834,P2470
AG0835,P2470
AG0836,P2470
AG0837,P2470
AG0838,P2470
AG0839,P2470
AG0840,P2470
AG0841,P2470
AG0842,P2470
AG0843,P2470
AG0844,P2470
AG0845,P2470
AG0846,P2470
AG0847,P2470
AG0848,P2470
AG0849,P2470
AG0850,P2470
AG0851,P2470
AG0852,P2470
AG0853,P2470
AG0854,P2470
AG0855,P2470
AG0856,P2470
AG0857,P2470
