subproject,library_id,index,donor_id,fastq_path_r1,fastq_path_r2,symbolic_link_r1,symbolic_link_r2,zUMI_barcode,plate,original_barcode,well,sample_id
CLL_52,AG0510,N705-S507-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N705-S507-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N705-S507-NX-xt_2.fastq.gz,CLL_05-76_S147_L001_R1_001.fastq.gz,CLL_05-76_S147_L001_R2_001.fastq.gz,IZRTANXY,P2468,P2468_N705-S507,CLL_05_76_E05,05/76
CLL_52,AG0647,N727-S508-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N727-S508-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N727-S508-NX-xt_2.fastq.gz,CLL_14-2116_S78_L001_R1_001.fastq.gz,CLL_14-2116_S78_L001_R2_001.fastq.gz,IZSMQUOG,P2469,P2469_N727-S508,CLL_14_2116_F10,14/2116
CLL_52,AF9982,N722-S502-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N722-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N722-S502-NX-xt_2.fastq.gz,CLL_05-76_S84_L007_R1_001.fastq.gz,CLL_05-76_S84_L007_R2_001.fastq.gz,IZWWGWQD,P2465,P2465_N722-S502,CLL_05_76_A06,05/76
CLL_52,AF9631,N727-S503-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N727-S503-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/6/fastq/CCHJ9ANXX_6_N727-S503-NX-xt_2.fastq.gz,CLL_14-2116_S92_L006_R1_001.fastq.gz,CLL_14-2116_S92_L006_R2_001.fastq.gz,JAENFGKR,P2461,P2461_N727-S503,CLL_14_2116_B10,14/2116
CLL_52,AG0753,N714-S522-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N714-S522-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N714-S522-NX-xt_2.fastq.gz,CLL_14-2116_S319_L001_R1_001.fastq.gz,CLL_14-2116_S319_L001_R2_001.fastq.gz,JAHKCFZI,P2470,P2470_N714-S522,CLL_14_2116_H11,14/2116
CLL_52,AF9893,N706-S511-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S511-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N706-S511-NX-xt_2.fastq.gz,CLL_05-76_S298_L007_R1_001.fastq.gz,CLL_05-76_S298_L007_R2_001.fastq.gz,JAYYGGGZ,P2464,P2464_N706-S511,CLL_05_76_H06,05/76
CLL_52,AG0791,N720-S520-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N720-S520-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N720-S520-NX-xt_2.fastq.gz,CLL_05-76_S77_L001_R1_001.fastq.gz,CLL_05-76_S77_L001_R2_001.fastq.gz,JBBJGBRU,P2471,P2471_N720-S520,CLL_05_76_F04,05/76
CLL_52,AG0716,N707-S516-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N707-S516-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N707-S516-NX-xt_2.fastq.gz,CLL_10-7434_S10_L001_R1_001.fastq.gz,CLL_10-7434_S10_L001_R2_001.fastq.gz,JBGHNZZW,P2470,P2470_N707-S516,CLL_10_7434_C07,10/7434
CLL_52,AG0214,N728-S513-NX-xt,63,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S513-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCHJ9ANXX/7/fastq/CCHJ9ANXX_7_N728-S513-NX-xt_2.fastq.gz,CLL_14-2116_S244_L007_R1_001.fastq.gz,CLL_14-2116_S244_L007_R2_001.fastq.gz,JBJNJAMH,P2467,P2467_N728-S513,CLL_14_2116_A11,14/2116
CLL_52,AG0490,N703-S502-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N703-S502-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N703-S502-NX-xt_2.fastq.gz,CLL_05-599_S67_L001_R1_001.fastq.gz,CLL_05-599_S67_L001_R2_001.fastq.gz,JBKWGDUX,P2468,P2468_N703-S502,CLL_05_599_A03,05/599
CLL_52,AG0531,N710-S503-NX-xt,63,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N710-S503-NX-xt_1.fastq.gz,/scratch/project/production/fastq/CCJ02ANXX/1/fastq/CCJ02ANXX_1_N710-S503-NX-xt_2.fastq.gz,CLL_10-7434_S13_L001_R1_001.fastq.gz,CLL_10-7434_S13_L001_R2_001.fastq.gz,JBLMGZUA,P2468,P2468_N710-S503,CLL_10_7434_B08,10/7434
