library_id,fastq_path,read,pair_id,type
140553,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruSeqD704_2.fastq.gz,R2,P27,hashed_hto
140553,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD704_1.fastq.gz,R1,P28,hashed_hto
140553,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruSeqD704_2.fastq.gz,R2,P28,hashed_hto
140554,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruseqD705_1.fastq.gz,R1,P29,hashed_hto
140554,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruseqD705_2.fastq.gz,R2,P29,hashed_hto
140554,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruseqD705_1.fastq.gz,R1,P30,hashed_hto
140554,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruseqD705_2.fastq.gz,R2,P30,hashed_hto
140555,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruseqD706_1.fastq.gz,R1,P31,hashed_hto
140555,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruseqD706_2.fastq.gz,R2,P31,hashed_hto
140555,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruseqD706_1.fastq.gz,R1,P32,hashed_hto
140555,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruseqD706_2.fastq.gz,R2,P32,hashed_hto
140556,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruseqD707_1.fastq.gz,R1,P33,hashed_hto
140556,/scratch/project/production/fastq/HCY2YDRXX/1/fastq/HCY2YDRXX_1_IlluminaTruseqD707_2.fastq.gz,R2,P33,hashed_hto
140556,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruseqD707_1.fastq.gz,R1,P34,hashed_hto
140556,/scratch/project/production/fastq/HCY2YDRXX/2/fastq/HCY2YDRXX_2_IlluminaTruseqD707_2.fastq.gz,R2,P34,hashed_hto
